Place,Cases,CasesLast14Days,AvgDailyPer100K,RelativeChange,TotalTested,TotalTestedLast14Days,TotalPositiveLast14Days,PctPositive,ChangePctPositivity,Date
New Marlborough,9,,4.7,No Change,179,33,1,0.03030303,Lower,2020-08-19
Lawrence,3941,106,8.6,Lower,33396,4761,136,0.028565427,No Change,2020-08-19
Spencer,78,11,6.8,Higher,2622,464,13,0.028017241,Higher,2020-08-19
Whately,8,,4.9,Higher,155,36,1,0.027777778,Higher,2020-08-19
Hull,64,7,5.1,Lower,1970,296,8,0.027027027,Lower,2020-08-19
New Bedford,2330,70,5,Higher,28703,3393,89,0.026230475,Higher,2020-08-19
Fall River,1873,74,5.9,Lower,28548,3619,93,0.025697707,Lower,2020-08-19
Millville,25,,4,No Change,577,78,2,0.025641026,Higher,2020-08-19
North Attleborough,294,17,4,Higher,5137,861,22,0.025551684,Higher,2020-08-19
Holyoke,1047,41,7.1,Lower,14528,1927,46,0.023871303,No Change,2020-08-19
Fitchburg,846,27,4.6,Higher,12115,1387,33,0.023792358,Higher,2020-08-19
Springfield,3175,99,4.5,Higher,38043,5575,128,0.022959641,No Change,2020-08-19
Palmer,64,6,3.6,No Change,2321,353,8,0.02266289,Higher,2020-08-19
Phillipston,18,,4.2,Higher,320,45,1,0.022222222,Higher,2020-08-19
Marlborough,1087,37,6.1,Higher,13638,2035,45,0.022113022,Higher,2020-08-19
Peabody,1104,39,5,Lower,15887,2364,52,0.021996616,Lower,2020-08-19
Canton,329,17,5.3,Higher,6998,1055,23,0.021800948,Lower,2020-08-19
Georgetown,71,5,4,Lower,1782,328,7,0.021341463,Lower,2020-08-19
Stoughton,633,18,4.6,Higher,7549,992,21,0.021169355,Higher,2020-08-19
Athol,80,11,6.6,Higher,3280,524,11,0.020992366,Higher,2020-08-19
Boston,15640,627,6.4,Higher,220690,35705,744,0.020837418,No Change,2020-08-19
Malden,1359,40,4.2,Lower,17534,2427,50,0.020601566,Lower,2020-08-19
Plainville,76,,0.8,No Change,1829,301,6,0.019933555,Higher,2020-08-19
Rochester,42,,3.8,Higher,1030,152,3,0.019736842,Higher,2020-08-19
Framingham,1897,62,5.9,Higher,20007,3418,67,0.019602106,Lower,2020-08-19
Seekonk,104,7,3.6,Lower,2294,359,7,0.019498607,Lower,2020-08-19
Lincoln,46,5,4.1,Higher,1858,308,6,0.019480519,Higher,2020-08-19
Bellingham,155,11,4.4,Higher,3420,566,11,0.019434629,Higher,2020-08-19
Attleboro,717,20,3.1,Lower,9437,1294,25,0.019319938,Lower,2020-08-19
Quincy,1328,52,3.7,Lower,24402,3735,72,0.019277108,Lower,2020-08-19
Holland,11,,2.8,Lower,442,104,2,0.019230769,Lower,2020-08-19
Dartmouth,421,15,2.9,Higher,8158,959,18,0.018769552,Higher,2020-08-19
Mansfield,193,14,4.2,Higher,4645,805,15,0.01863354,Higher,2020-08-19
Norton,154,9,3.2,Higher,3869,663,12,0.018099548,Higher,2020-08-19
Tewksbury,626,17,3.9,Higher,10124,1107,20,0.018066847,Higher,2020-08-19
West Stockbridge,6,,6,Higher,275,56,1,0.017857143,Higher,2020-08-19
Whitman,204,8,3.7,Higher,3202,454,8,0.017621145,Higher,2020-08-19
Methuen,1123,37,4.9,Higher,14794,2182,38,0.017415215,Higher,2020-08-19
Granby,41,,4.7,Lower,1158,230,4,0.017391304,Lower,2020-08-19
Rehoboth,75,5,2.8,Lower,1859,289,5,0.017301038,Lower,2020-08-19
Danvers,766,12,3,Lower,9937,1112,19,0.017086331,Higher,2020-08-19
Westborough,360,11,4.2,Higher,4803,738,12,0.016260163,Higher,2020-08-19
Chicopee,573,26,3.3,Lower,12346,1971,32,0.016235413,Lower,2020-08-19
Woburn,686,13,2.2,Lower,10591,1520,24,0.015789474,Higher,2020-08-19
Charlton,107,7,3.6,Lower,3552,639,10,0.015649452,Lower,2020-08-19
West Boylston,65,,3.6,Higher,1924,323,5,0.015479876,No Change,2020-08-19
Abington,252,,1.6,Lower,3858,525,8,0.015238095,Lower,2020-08-19
Easthampton,110,9,4,Lower,3927,724,11,0.01519337,Lower,2020-08-19
Webster,281,9,3.7,Higher,5410,733,11,0.015006821,Higher,2020-08-19
State,115048,3797,3.9,Lower,1974918,311595,4678,0.015,Lower,2020-08-19
Randolph,1008,14,2.9,Lower,11035,1676,25,0.014916468,Lower,2020-08-19
Taunton,1047,30,3.7,Higher,15611,2284,34,0.014886165,Higher,2020-08-19
